"Relative Time","Hits"
"00:00","0"
"01:04","60.703"
"02:08","84.406"
"03:12","79.156"
"04:16","77.828"
"05:20","79.156"
"06:24","84.656"
"07:28","79.141"
"08:32","79.156"
"09:36","79.156"
"10:40","79.141"
"11:44","79.141"
"12:48","79.016"
"13:52","79.141"
"14:56","79.156"
"16:00","79.156"
"17:04","94.844"
"18:08","79.156"
"19:12","79.156"
"20:16","76.531"
"21:20","30.484"
"22:24","78.703"
"23:28","79.047"
"24:32","79.156"
"25:36","79.156"
"26:40","79.156"
"27:44","79.156"
"28:48","79.156"
"29:52","79.078"
"30:56","70.188"
"32:00","79.156"
"33:04","72.594"
"34:08","79.156"
"35:12","101.906"
"36:16","79.156"
"37:20","79.156"
"38:24","79.156"
"39:28","79.094"
"40:32","79.031"
"41:36","79.156"
"42:40","79.156"
"43:44","79.156"
"44:48","79.156"
"45:52","79.156"
"46:56","79.156"
"48:00","78.859"
"49:04","73.344"
"50:08","80.906"
"51:12","100.156"
"52:16","79.141"
"53:20","78.797"
"54:24","79.156"
"55:28","79.156"
"56:32","54.688"
"57:36","6.759"
